,Unnamed: 0,latitude,longitude,property_type,room_type,beds,accommodates,price,number_of_reviews,review_scores_rating,host_is_superhost,host_listings_count,host_total_listings_count
0,0,40.68457,-73.91181,Private room in rental unit,Private room,1.0,1,65.0,5,4.8,False,1.0,2.0
1,3,40.6818,-73.93121,Entire rental unit,Entire home/apt,1.0,2,70.0,2,5.0,False,1.0,2.0
2,4,40.68209,-73.94279,Entire rental unit,Entire home/apt,2.0,4,170.0,88,4.98,True,1.0,1.0
3,5,40.72625,-73.98691,Private room in condo,Private room,1.0,1,140.0,61,4.43,False,2.0,9.0
4,6,40.72813,-73.98801,Private room in condo,Private room,1.0,1,125.0,41,4.29,False,2.0,9.0
5,7,40.75413,-73.86037,Private room in rental unit,Private room,1.0,2,43.0,3,5.0,False,1.0,2.0
6,8,40.73779,-73.98032,Entire rental unit,Entire home/apt,1.0,2,170.0,9,4.67,False,1.0,2.0
7,9,40.67742,-73.94956,Entire rental unit,Entire home/apt,2.0,2,72.0,6,5.0,False,1.0,1.0
8,11,40.76529849242509,-73.76707003373029,Entire home,Entire home/apt,7.0,10,400.0,36,4.97,True,1.0,1.0
9,12,40.66262,-73.7488,Private room in home,Private room,1.0,1,75.0,63,4.7,False,2.0,5.0
10,13,40.67025,-73.74414,Private room in home,Private room,1.0,1,74.0,45,4.4,False,2.0,5.0
11,14,40.71446363220053,-73.9513380099022,Entire rental unit,Entire home/apt,1.0,2,833.0,1,5.0,False,3.0,8.0
12,15,40.713428622981766,-73.95141847068068,Entire rental unit,Entire home/apt,2.0,4,537.0,12,4.67,False,3.0,8.0
13,16,40.71323636227395,-73.953068106665,Entire rental unit,Entire home/apt,1.0,2,503.0,22,4.68,False,3.0,8.0
14,17,40.68305,-73.96615,Private room in rental unit,Private room,1.0,2,55.0,9,4.86,False,1.0,8.0
15,18,40.70411,-73.91063,Private room in rental unit,Private room,1.0,2,95.0,23,4.96,True,1.0,1.0
16,19,40.67312,-73.9572,Private room in rental unit,Private room,1.0,2,50.0,1,4.0,False,2.0,2.0
17,20,40.67377,-73.95887,Private room in rental unit,Private room,1.0,2,50.0,1,5.0,False,2.0,2.0
18,21,40.71477,-73.9611,Entire rental unit,Entire home/apt,1.0,2,190.0,10,4.7,False,1.0,1.0
19,22,40.66635,-73.73751,Private room in rental unit,Private room,1.0,1,90.0,16,4.81,True,3.0,11.0
20,23,40.66634,-73.73651,Entire guest suite,Entire home/apt,2.0,3,120.0,1,5.0,True,3.0,11.0
21,24,40.66852,-73.73619,Private room in home,Private room,1.0,1,75.0,10,4.78,True,3.0,11.0
22,25,40.69203952168524,-73.95262915236663,Entire rental unit,Entire home/apt,1.0,2,200.0,2,5.0,False,1.0,1.0
23,26,40.69475,-73.94682,Shared room in rental unit,Shared room,1.0,2,116.0,115,4.67,True,1.0,2.0
24,27,40.90376,-73.89966,Entire rental unit,Entire home/apt,4.0,6,350.0,22,4.91,True,1.0,1.0
25,28,40.71947,-73.98819,Entire rental unit,Entire home/apt,1.0,2,125.0,12,4.45,False,1.0,2.0
26,30,40.81767,-73.8899,Private room in rental unit,Private room,1.0,1,70.0,14,4.79,False,2.0,7.0
27,31,40.81767,-73.8899,Private room in rental unit,Private room,1.0,2,60.0,27,4.67,False,2.0,7.0
28,32,40.7476,-73.86454,Shared room in rental unit,Shared room,1.0,1,180.0,5,5.0,False,5.0,5.0
29,33,40.74771687147563,-73.86537279299243,Shared room in rental unit,Shared room,1.0,1,180.0,1,5.0,False,5.0,5.0
30,34,40.748131058876425,-73.86527207070972,Shared room in rental unit,Shared room,1.0,1,180.0,1,5.0,False,5.0,5.0
32,36,40.7607,-73.91915,Private room in rental unit,Private room,1.0,1,55.0,2,3.0,False,1.0,5.0
33,39,40.71497,-73.96214,Entire loft,Entire home/apt,2.0,2,139.0,6,4.5,False,2.0,4.0
34,41,40.6947487,-73.7705501,Entire home,Entire home/apt,4.0,5,393.0,1,5.0,False,1.0,1.0
35,42,40.68904,-73.96375,Entire rental unit,Entire home/apt,1.0,4,160.0,2,4.0,True,3.0,7.0
36,44,40.71767,-73.99719,Private room in rental unit,Private room,1.0,2,170.0,4,4.5,False,3.0,3.0
37,46,40.72233,-73.99655,Entire rental unit,Entire home/apt,1.0,2,150.0,1,0.0,False,1.0,1.0
38,47,40.77588661805344,-73.97915303544487,Entire rental unit,Entire home/apt,2.0,4,160.0,1,5.0,True,2.0,2.0
39,48,40.72637,-73.98188,Private room in rental unit,Private room,1.0,2,133.0,191,4.71,False,1.0,1.0
40,49,40.76575,-73.98766,Entire rental unit,Entire home/apt,3.0,5,184.0,25,4.48,False,1.0,2.0
41,50,40.68374,-73.93222,Entire townhouse,Entire home/apt,4.0,7,680.0,2,5.0,False,1.0,1.0
42,51,40.65673,-73.74378,Private room in guest suite,Private room,3.0,9,250.0,23,4.91,True,2.0,6.0
43,52,40.65518,-73.74398,Private room in guest suite,Private room,3.0,7,250.0,25,4.96,True,2.0,6.0
44,53,40.72968,-73.95446,Entire rental unit,Entire home/apt,1.0,1,210.0,1,5.0,False,1.0,2.0
45,54,40.69493,-73.94314,Shared room in townhouse,Shared room,2.0,2,194.0,416,4.86,True,1.0,1.0
46,56,40.77298,-73.95813,Private room in rental unit,Private room,1.0,1,60.0,5,5.0,True,1.0,1.0
47,57,40.69441,-73.94922,Private room in rental unit,Private room,1.0,1,35.0,2,4.5,False,1.0,1.0
48,58,40.69696,-73.91438,Private room in rental unit,Private room,1.0,1,27.0,1,5.0,False,1.0,1.0
49,59,40.80384,-73.95123,Entire rental unit,Entire home/apt,2.0,4,78.0,176,4.49,True,1.0,5.0
50,62,40.6769,-73.9454,Entire rental unit,Entire home/apt,5.0,4,145.0,71,4.79,False,1.0,1.0
51,63,40.64477,-73.95042,Entire rental unit,Entire home/apt,4.0,4,100.0,41,4.8,False,1.0,1.0
52,64,40.64149,-73.90458,Entire rental unit,Entire home/apt,3.0,5,261.0,33,4.97,True,1.0,5.0
54,66,40.83396394916302,-73.94370001905746,Entire condo,Entire home/apt,6.0,12,628.0,40,4.45,False,13.0,13.0
55,67,40.8353,-73.94369,Entire rental unit,Entire home/apt,3.0,4,329.0,64,4.28,False,13.0,13.0
56,68,40.840131668138056,-73.94581294497729,Entire rental unit,Entire home/apt,3.0,4,330.0,15,4.27,False,13.0,13.0
57,69,40.83395,-73.94327,Entire home,Entire home/apt,7.0,12,720.0,84,4.67,False,13.0,13.0
58,70,40.71988,-73.95494,Entire rental unit,Entire home/apt,2.0,4,225.0,3,5.0,False,1.0,1.0
59,71,40.66793,-73.9809,Entire rental unit,Entire home/apt,2.0,2,150.0,64,4.75,False,2.0,2.0
60,72,40.76212,-73.98152,Private room in condo,Private room,2.0,4,173.0,125,4.95,True,1.0,3.0
61,73,40.77201,-73.92197,Entire rental unit,Entire home/apt,1.0,4,100.0,2,5.0,False,1.0,1.0
62,74,40.67588,-73.95163,Entire rental unit,Entire home/apt,4.0,5,300.0,4,4.5,False,1.0,1.0
63,75,40.654193437527645,-73.73819118899867,Private room in home,Private room,2.0,2,150.0,38,4.95,True,1.0,1.0
64,76,40.80922148559623,-73.94402696822137,Entire rental unit,Entire home/apt,5.0,8,374.0,65,4.65,False,1.0,1.0
65,78,40.71359,-73.93627,Entire rental unit,Entire home/apt,1.0,4,119.0,10,4.5,False,1.0,1.0
66,79,40.67656,-73.93325,Private room in rental unit,Private room,1.0,1,50.0,12,4.89,False,1.0,2.0
67,80,40.83175,-73.94819,Private room in rental unit,Private room,4.0,4,65.0,2,5.0,False,1.0,1.0
68,81,40.59508,-73.7782,Entire home,Entire home/apt,1.0,2,180.0,29,5.0,False,1.0,1.0
69,82,40.67596,-73.74764,Private room in home,Private room,1.0,1,50.0,7,4.29,False,1.0,2.0
70,83,40.68102,-73.97028,Entire guest suite,Entire home/apt,2.0,2,293.0,116,4.89,True,1.0,1.0
71,84,40.72113235966562,-73.97943508589647,Entire rental unit,Entire home/apt,3.0,5,232.0,22,4.59,False,4.0,4.0
72,85,40.72245571745163,-73.97931341946745,Entire rental unit,Entire home/apt,3.0,5,166.0,23,4.78,False,4.0,4.0
73,86,40.722192444335306,-73.97941362560886,Entire rental unit,Entire home/apt,3.0,7,257.0,22,4.41,False,4.0,4.0
74,87,40.72224823492312,-73.97740433331978,Entire rental unit,Entire home/apt,5.0,10,386.0,24,4.58,False,4.0,4.0
75,88,40.79847,-73.94833,Private room in rental unit,Private room,1.0,2,95.0,169,4.85,False,3.0,4.0
